date,amfi_code,nav
03-01-2022,100016,520.4608
04-01-2022,100016,515.0971
05-01-2022,100016,521.7239
06-01-2022,100016,515.788
07-01-2022,100016,515.1639
08-01-2022,100016,515.1639
09-01-2022,100016,515.1639
10-01-2022,100016,510.7136
11-01-2022,100016,513.5542
12-01-2022,100016,512.3195
13-01-2022,100016,510.2445
14-01-2022,100016,514.3636
15-01-2022,100016,514.3636
16-01-2022,100016,514.3636
17-01-2022,100016,514.7627
18-01-2022,100016,517.3803
19-01-2022,100016,513.1866
20-01-2022,100016,507.1294
21-01-2022,100016,507.871
22-01-2022,100016,507.871
23-01-2022,100016,507.871
24-01-2022,100016,506.7062
25-01-2022,100016,509.7762
26-01-2022,100016,509.68
27-01-2022,100016,510.8661
28-01-2022,100016,503.8641
29-01-2022,100016,503.8641
30-01-2022,100016,503.8641
31-01-2022,100016,512.5903
01-02-2022,100016,512.1124
02-02-2022,100016,515.5386
03-02-2022,100016,512.0153
04-02-2022,100016,513.6729
05-02-2022,100016,513.6729
06-02-2022,100016,513.6729
07-02-2022,100016,508.0666
08-02-2022,100016,510.3595
09-02-2022,100016,509.0223
10-02-2022,100016,509.4161
11-02-2022,100016,512.826
12-02-2022,100016,512.826
13-02-2022,100016,512.826
14-02-2022,100016,507.5435
15-02-2022,100016,504.7492
16-02-2022,100016,507.0506
17-02-2022,100016,516.7872
18-02-2022,100016,516.4246
19-02-2022,100016,516.4246
20-02-2022,100016,516.4246
21-02-2022,100016,519.3918
22-02-2022,100016,519.1698
23-02-2022,100016,528.4118
24-02-2022,100016,520.6004
25-02-2022,100016,521.3038
26-02-2022,100016,521.3038
27-02-2022,100016,521.3038
28-02-2022,100016,514.1489
01-03-2022,100016,503.1674
02-03-2022,100016,504.7495
03-03-2022,100016,505.6316
04-03-2022,100016,504.6233
05-03-2022,100016,504.6233
06-03-2022,100016,504.6233
07-03-2022,100016,504.411
08-03-2022,100016,518.6513
09-03-2022,100016,517.7387
10-03-2022,100016,520.3416
11-03-2022,100016,517.6372
12-03-2022,100016,517.6372
13-03-2022,100016,517.6372
14-03-2022,100016,519.2545
15-03-2022,100016,518.432
16-03-2022,100016,516.825
17-03-2022,100016,525.4534
18-03-2022,100016,531.2109
19-03-2022,100016,531.2109
20-03-2022,100016,531.2109
21-03-2022,100016,532.1264
22-03-2022,100016,521.6911
23-03-2022,100016,520.3011
24-03-2022,100016,533.1283
25-03-2022,100016,532.3194
26-03-2022,100016,532.3194
27-03-2022,100016,532.3194
28-03-2022,100016,537.8012
29-03-2022,100016,544.965
30-03-2022,100016,546.3002
31-03-2022,100016,542.5392
01-04-2022,100016,531.285
02-04-2022,100016,531.285
03-04-2022,100016,531.285
04-04-2022,100016,534.7762
05-04-2022,100016,531.2213
06-04-2022,100016,532.3217
07-04-2022,100016,526.7582
08-04-2022,100016,525.7986
09-04-2022,100016,525.7986
10-04-2022,100016,525.7986
11-04-2022,100016,526.2264
12-04-2022,100016,527.7466
13-04-2022,100016,522.8529
14-04-2022,100016,528.6739
15-04-2022,100016,526.1696
16-04-2022,100016,526.1696
17-04-2022,100016,526.1696
18-04-2022,100016,518.7241
19-04-2022,100016,518.493
20-04-2022,100016,518.9178
21-04-2022,100016,519.9214
22-04-2022,100016,526.4763
23-04-2022,100016,526.4763
24-04-2022,100016,526.4763
25-04-2022,100016,525.6507
26-04-2022,100016,525.3674
27-04-2022,100016,520.5493
28-04-2022,100016,524.6005
29-04-2022,100016,525.7251
30-04-2022,100016,525.7251
01-05-2022,100016,525.7251
02-05-2022,100016,524.0515
03-05-2022,100016,515.5881
04-05-2022,100016,522.4674
05-05-2022,100016,517.1078
06-05-2022,100016,514.6837
07-05-2022,100016,514.6837
08-05-2022,100016,514.6837
09-05-2022,100016,516.5793
10-05-2022,100016,511.4204
11-05-2022,100016,504.9889
12-05-2022,100016,495.8735
13-05-2022,100016,499.2941
14-05-2022,100016,499.2941
15-05-2022,100016,499.2941
16-05-2022,100016,497.1556
17-05-2022,100016,510.4206
18-05-2022,100016,506.2251
19-05-2022,100016,502.3871
20-05-2022,100016,500.1462
21-05-2022,100016,500.1462
22-05-2022,100016,500.1462
23-05-2022,100016,501.4785
24-05-2022,100016,499.6609
25-05-2022,100016,502.6257
26-05-2022,100016,498.5637
27-05-2022,100016,492.78
28-05-2022,100016,492.78
29-05-2022,100016,492.78
30-05-2022,100016,485.277
31-05-2022,100016,476.0989
01-06-2022,100016,474.1732
02-06-2022,100016,473.1602
03-06-2022,100016,470.7754
04-06-2022,100016,470.7754
05-06-2022,100016,470.7754
06-06-2022,100016,476.2119
07-06-2022,100016,481.6458
